Unnamed: 0,x_i,x_j,Label
2698,the township lay nestled in the curve of,the river.,GPT2
2699,a small freighter carrying fusion reactors for use,in the U.,GPT2
2700,"she meant to keep me , anita ,",and my sister in the house.,GPT2
2701,duncan was waiting for,her.,GPT2
2702,"i could have told him that , but i",didn't.,GPT2
2703,i hit the stone floor on my knees,. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I,GPT2
2704, do n't you fucking,"hate me?I'm not going to lie, I'm not going to lie.",GPT2
2705,"a couple days later , amy purchased some pans",from the store and started to make them.,GPT2
2706,"the other airboat , sensing the","danger of the enemy's attack, and the other airship,",GPT2
2707, i did n't have,a clue n I was n I was n I was n I was n I was n I was n I was n I was n I was n I was n I was n I was n I was n I was n,GPT2
2708,"just a brooding unease , and mind snapshots",of the past.,GPT2
2709,"i mean , wheres your herb garden","?I'm not sure if you're familiar with the term ""grass garden"" or ""grass-fed"" or if you're familiar with the term ""grass-fed"" or ""grass-fed",GPT2
2710,"jack 's voice , sharp with command i scrambled",to his feet.,GPT2
2711,marjorie had gone out,of her way to make sure that she was not being harassed.,GPT2
2712,gwen already had a pretty good,idea of what she was doing.,GPT2
2713,"by this point , however ,","the fact that the ""s"" in the ""s"" are not actually the same as the ""s"" in the ""s"" is not a problem.",GPT2
2714, and your people were,not going to be able to do that.,GPT2
2715,beside it was another,day.,GPT2
2716,"a half mile farther down , i reached",the top of the hill and saw a large tree with a large tree trunk.,GPT2
2717,we 're right on the verge of,a revolution' and 'we are ready to fight for the revolution'.,GPT2
2718,another roar went up from the field as haydens,and haydens came down on the field.,GPT2
2719,they both wore long black dresses and,black boots.,GPT2
2720,a few flashbulbs go off-then they see it,".""I'm not sure what's going on,",GPT2
2721,she asked as if she,was going to be a part of it.,GPT2
2722,as he took the weight off each foot,".""I'm not going to lie, I'm not going to lie,",GPT2
2723,now can i ask you what you,think about the new game?I think it's a great game.,GPT2
2724,i sat down on my bed and pulled,out a small box of tissues.,GPT2
2725,the northern door opened into a long corridor,", and the two of them were standing in the middle of it.",GPT2
2726,"dimitri managed to fold his huge , muscular",body into a ball and hit the ground.,GPT2
2727,'argaol just had a few last,minute changes.,GPT2
2728,"and with elijah 's wariness , he",was not able to get the word of the Lord to him.,GPT2
2729,he lifted his head,and looked at the sky.,GPT2
2730, i think this might be,a good idea.,GPT2
2731,as they approached the source of the glow,".""I'm not sure what they're doing,",GPT2
2732,she 's clever ; she,"'s a good girl, and she's a good girl.",GPT2
2733,"he pounded the amulet , bottom-side","up, and then pulled it out.",GPT2
2734,since they didnt have any more kids after,that).,GPT2
2735,i then went and,bought a new car.,GPT2
2736, you are full of,energy and you are ready to go.,GPT2
2737,i stand outside for what feels like forever,".""I'm not going to be able to do that,",GPT2
2738,even as a child she recognized the taint of madness,and the need to be a good person.,GPT2
2739,so what lucian was wondering was if we,could get a better understanding of the nature of the universe.,GPT2
2740,"when they turned back ,",they would have to wait for the next one.,GPT2
2741,next to that was the,first time I had ever seen a video of a woman in a bikini.,GPT2
2742,"his answer was ,  i want",to know what you think about this.,GPT2
2743,"and together , were",the first to show that the two groups of neurons were connected in a way that could be used to detect the presence of a specific type of protein.,GPT2
2744,it took so much effort to keep,"the game running smoothly, and I'm glad I did.",GPT2
2745,i heard her digging through,the rubble of her house.,GPT2
2746,"he rode her hard and fast , slamming",her head against the wall and screaming.,GPT2
2747, we have some,of the best and most innovative products in the world.,GPT2
2748, just another one of,those things that you can't do.,GPT2
2749,i came here looking for,a job.,GPT2
2750,had colin decided to go,to the hospital.,GPT2
2751,in her tank top and with her black,bikini top.,GPT2
2752,moments ago i 'd made my choice and,i'm going to make it happen.,GPT2
2753,but i was n't clear what,i was n was g was i was n was g was was t was h was e was was t was h was e was was t was h was e was was w was a was n was g was was,GPT2
2754,logging camp and an out-of-commission lodge are all,in place.,GPT2
2755,i stared at logan in his faded blue,eyes.,GPT2
2756, but if i slip there and in,the middle of the game i get a little bit of a headache.,GPT2
2757,"well , i can do",it.,GPT2
2758,the crowd and winds and panic caused a,lot of people to flee.,GPT2
2759,as the show would go out on a,limb and say that it was a good idea to have a show that was not just about the show but about the world.,GPT2
2760,if barges were still coming down the river,", the river was still flowing.",GPT2
2761,i should 've talked,to him about it' and 'he's not going to be a big deal'.,GPT2
2762,there 's no question this corpse should n't,"be there,' "" he said.",GPT2
2763,freda 's mother just did n't,want to be a part of it.,GPT2
2764,my heart started thudding as i watched him,fall to the ground.,GPT2
2765, i did n't,t was i was n was g was was t was h was e was was t was h was e was was t was h was e was was t was h was e was was t was h was e was was t was,GPT2
2766,fear surges through me and i move quickly,to dodge them.,GPT2
2767,the order has done absolutely nothing to,help the victims of the attack.,GPT2
2768,"the withdrawal was quick , too quick , and",the withdrawal was not as quick as it should have been.,GPT2
2769,shes been gone since,the beginning of time.,GPT2
2770,louis smith fell in and out of,the room.,GPT2
2771, we 'll take our,time to make sure that you're getting the best possible experience.,GPT2
2772, the president made his address to the,nation.,GPT2
2773,elton and gino sat in the,"back of the room, and the two of them were talking about the future of the city.",GPT2
2774,the driver fired up the watercraft,and the watercraft was able to escape.,GPT2
2775,a few drops of rain,", and the wind was blowing in the direction of the river.",GPT2
2776,"mr. morgenstern senior called us , at the","end of the day, we were all in the same boat.",GPT2
2777,i walked over to the door wearing nothing,but a pair of black jeans and a black T-shirt.,GPT2
2778," i 'm looking at ,","'m looking at ' , 'm looking at ' ,",GPT2
2779,did they fear there might be,"a backlash against them?""I think it's a very important issue for us to be able to address,"" he said.",GPT2
2780,i would like to think that is at,least partially true.,GPT2
2781,i do n't know,what to do.,GPT2
2782,hal ca n't get back,to the drawing board.,GPT2
2783,he wondered at this sudden surge of libido when,he saw the girl's face.,GPT2
2784,as long as you know,what you're doing.,GPT2
2785,"st. clair was there , smoking in a",small room.,GPT2
2786,i slowed the porsche down as,he was about to pull out of the car.,GPT2
2787, i also forgot,to mention that I am a fan of the original series.,GPT2
2788,only one sleeve stuck out,of the back of the jacket.,GPT2
2789,"reminded of why he was here , he","said, ""I'm not going to be here for a long time.",GPT2
2790,"he chanted a phrase lowly , over and","over again, ""I am the Lord.",GPT2
2791,we did not expect so gracious a welcome,from the people of the United States.,GPT2
2792,he 'd kept that side of himself well,", and he was very much pleased with the way he was doing it.",GPT2
2793,i look over at the couch downstairs,and see a man in a white shirt and jeans.,GPT2
2794, one lykae can only,be found in the north of the continent.,GPT2
2795,it had been protocol that required vayentha 's,to be used as a buffer.,GPT2
2796,his younger brother might act like the consummate player,".""I think he's a very good player,",GPT2
2797,"she looked behind her , saw no","one, and then she saw the man who had been standing there with his hands in his pockets.",GPT2
2798,he ran my card down a black strip,of paper and started to write down the names of the people who had been killed.,GPT2
2799,"the ma'at are ready to move , is",the best way to get them to move.,GPT2
2800,"the occasional car rumbled by , trucks backed","up by cars, and the occasional car rumbled by .",GPT2
2801,"by this time , i had walked through",the door and was greeted by a man who was dressed in a white suit and a white shirt.,GPT2
2802, john said he 'd handle,it' and he's been doing it for a while.,GPT2
2803," okay , but you are",not going to get any more than that.,GPT2
2804,rico decided to use the,same method to get the same results.,GPT2
2805, i have something i have to tell,you.,GPT2
2806,he had a hard time,getting his hands on the phone.,GPT2
2807,he took what he took from her but,he didn't take it from her.,GPT2
2808,at this point a police cruiser came,to a stop and the driver of the car was arrested.,GPT2
2809,the same suits that were,used to defend the U.,GPT2
2810,in my present attire we would appear less,attractive to the public.,GPT2
2811,"under the light of dawn ,",and the sun was rising in the sky .,GPT2
2812," i read charts ,",I was surprised to see that the average of the two charts was about the same.,GPT2
2813,she and dax have been friends with benefits,for years.,GPT2
2814, we just have to make sure,that we're not going to be able to do that.,GPT2
2815,i need my best,friend to be my best friend.,GPT2
2816, you related to all the,other things that I've done.,GPT2
2817,"asked the young boy ,",and asked him to take a picture of the girl.,GPT2
2818," or maybe it was just gross , because",I was so excited to see it.,GPT2
2819,he brought her close but stopped her when,she saw the man's face.,GPT2
2820, i thought you were done with,the game.,GPT2
2821,i knew a clean break was the only way,to get him out of the hospital.,GPT2
2822,no one knew who sebastian was but,he was a very good man.,GPT2
2823, let me know if,you have any questions.,GPT2
2824, it ca n't ...,"I'm not sure if you're aware of the fact that the first time I saw this video, I was in the middle of a long conversation with a friend about the topic of the video.",GPT2
2825,the purr of her voice made,her feel like she was being watched.,GPT2
2826,jaenelle 's eyes filled with tears,".""I'm sorry, I'm sorry,",GPT2
2827,sometimes i could tolerate boy but,i wasnt sure if i could tolerate boy or not)Anonymous 05/12/15 (Tue) 03:49:49 PM No.,GPT2
2828," hey , honey , '' i greeted","you with a smile , i was so happy ,",GPT2
2829,no one would write stories,about it.,GPT2
2830,the room filled with shrieks and the sounds,of the wind.,GPT2
2831,it is how your mind interprets the,world.,GPT2
2832,joseph grabbed his digging tools,and began to dig.,GPT2
2833,"if he 's been up here , he",'ll be back in the game.,GPT2
2834,that was painted before ry,egrass was invented.,GPT2
2835,the university sat on a hill on the,"edge of the campus, and the students were all sitting on the ground.",GPT2
2836,"i am no longer alone , steffor thought ,","and he was not alone , but he was not alone ,",GPT2
2837,"down the stairs they pounded and , sure","enough, the door was locked.",GPT2
2838," thank you , taylor ,",for your help.,GPT2
2839, wait till you get the heels,on.,GPT2
2840, do n't worry about,it.,GPT2
2841,the woman stopped a few,"feet away from the man, and he was standing there, looking at her.",GPT2
2842,asked them to divide the,money between them.,GPT2
2843,there 's a technique for eating in your,"own home, and it's a way to get rid of the clutter and clutter of your home.",GPT2
2844,"link eased up a little , and our side",was able to get a few more points.,GPT2
2845,"listening to the silence behind him , he",was able to hear the voice of the man who had been waiting for him.,GPT2
2846,i thought my lungs were going to,burst.,GPT2
2847,alicia arrived at the booth and,asked if I was going to be there.,GPT2
2848,"yeah , i went","to the gym and did some cardio and i was like ""oh my god, i'm going to do this"" and i was like ""oh my god,",GPT2
2849,my pulse sped up as i began to,feel the heat of the fire.,GPT2
2850,roman made it his life,'s work to make sure that the world was safe.,GPT2
2851,she hated the absence of his body near,the end of the fight.,GPT2
2852,blushweaver asked as the servants bought,the wine.,GPT2
2853,"and in those roles , since no one",else is going to be able to do it.,GPT2
2854,i meant to say mother,", father, and son.",GPT2
2855,he gestured to the,ground.,GPT2
2856, is n't that,bad?I'm not sure if I'm going to be able to do it.,GPT2
2857," yes , this is my husband ,","I am not going to lie to you , I am not going to lie to you ,",GPT2
2858,"selene , i was so",happy to see that I was able to get a job at a local restaurant.,GPT2
2859,it was n't his temper,".""I'm not going to let you get away with it,",GPT2
2860,"jimmy strolled over to sheen , who","was sitting on the edge of the bed, and she was looking at him with a look of concern.",GPT2
2861," it means bee ,",and bee is a bee.,GPT2
2862,laura saw the house,"as a place of refuge, and she was able to see the house as a place of refuge.",GPT2
2863,she was sure the eyes of the,world would be on her.,GPT2
2864,i 'd just settled down in front of,"the door and I was like, 'Oh my God, I'm so sorry.",GPT2
2865,betty over at american mortgage says she cant remember seeing,her husband in the hospital.,GPT2
2866,daniel traced a figure eight in bowl #,1 to the left of the left-hand side of the bowl.,GPT2
2867,duke suspected -- knew -- that if he,"was to be found guilty, he would be sentenced to life in prison.",GPT2
2868,castle was already in charge and already had,a good run of form.,GPT2
2869,the mhis was n't going to linger if,he didn't get a chance to get a chance to get a chance to get a chance to get a chance to get a chance to get a chance to get a chance to get a chance to get,GPT2
2870,says the driver and he jumps down and,gets out of the car.,GPT2
2871,she was about to alert thorne when she,heard a loud bang.,GPT2
2872,her clipped voice snapped,her attention to the man in the doorway.,GPT2
2873,the four boys slid on their provided,shoes and ran to the bathroom.,GPT2
2874,dont let the shame mask the great bravery,of the brave.,GPT2
2875,i fell right into,"the trap of being a ""good guy"" and a ""bad guy"" and a ""bad guy"" and a ""bad guy"" and a ""bad guy"" and a ""bad guy"" and a ""bad guy"" and",GPT2
2876,steve pulls into the suburban street at an,intersection.,GPT2
2877,he gripped the tonic the,way he had done before.,GPT2
2878,"his grandfather , a self-made millionaire commission agent",", was a member of the ""Billionaire Club"" of the United States.",GPT2
2879,"then to surreal ,  thank you for",the great work you did.,GPT2
2880,"my mother pauses , then puts a","hand on her shoulder and says, ""I'm sorry, but I'm not going to be able to do this.",GPT2
2881,rmerr flashed me a grin as i,looked at him.,GPT2
2882,not a lotta men would make the,same mistake.,GPT2
2883,but she never ... she never,... she never ... she never ... she never ... she never ... she never ... she never ... she never ... she never ... she never ... she never ... she never ... she never ... she never ... she never ... she,GPT2
2884,"bruce looks like a beast , his massive","head is covered in a thick layer of fur, and his eyes are filled with a deep, dark blue.",GPT2
2885,he looked around the room and blew out a breath,". ""I'm sorry,",GPT2
2886,i walked up and wiped it away,".""I'm sorry, but I'm not going to be able to do this anymore,",GPT2
2887,india shrieked and tried to wrench free,of the shackles of her shackles.,GPT2
2888, then i ca,ress you.,GPT2
2889,john was able to find him,"in the middle of the night, and he was able to find him in the middle of the night,",GPT2
2890,he ran his fingertip over,the top of the head of the head of the head of the head of the head of the head of the head of the head of the head of the head of the head of the head of the head of the head,GPT2
2891,nobody pulls out an uzi on my show,. I'm not going to do it. I'm not going to do it. I'm not going to do it. I'm not going to do it. I'm not going to do it,GPT2
2892,"behind her , rosalie sat in her own","room, and she was very happy.",GPT2
2893,that afternoon every noble was at bartholomews mansion trying to,get a drink.,GPT2
2894," i told the girlfriend , here i","am, i am in the middle of a fight with a guy who is a big fan of my game and i am going to be the one to beat him.",GPT2
2895,he always left room in his pack for scrounging,up a few more.,GPT2
2896,he lost his business the year after you left,".""I was a little bit of a loser. I was a little bit of a loser. I was a little bit of a loser. I was a little bit of a loser. I",GPT2
2897," no , she 's not crazy , and","she 's not crazy , she 's not crazy ,",GPT2
2898, you mean the hedge,"fund manager who is trying to make a living by selling stocks and bonds?I'm not sure what you mean by ""selling stocks and bonds.",GPT2
2899,this crazy emotion shot,through my head.,GPT2
2900,despite the impossibility of it at face,value).,GPT2
2901,chapter two by the time trevor finished scrubbing,the floor.,GPT2
2902," ben , you said ...","I'm not sure if you're right or not, but I'm sure you're right.",GPT2
2903,i yawned widely and had a,look at her.,GPT2
2904, i need to talk,to you about this.,GPT2
2905, you do n't need to,be a little bit more careful.,GPT2
2906,she did n't resist when he,was asked to do so.,GPT2
2907,my eyes fell to the body of stuart vox,", and he was dead.",GPT2
2908," i wandered far away from richard 's lifestyle ,",and I was not able to find a place to live.,GPT2
2909,"now prepare yourself , the ninja",will be able to take care of you.,GPT2
2910,"by bringing it to mine , jamie thought",it was a good idea to make a little more of it.,GPT2
2911,the rounds had penetrated the front grille of,"the car, and the rear grille was exposed.",GPT2
2912,"her worst fear was to be used ,",and that was the only way to get rid of him.,GPT2
2913,"he grinned , and suddenly , everything",was going to be okay.,GPT2
2914,i could practically see her wondering if she,was being watched.,GPT2
2915,"in light of today 's events , i",.e. the recent events of the past.The following is a list of the most important events in the history of the world.The first event was the Great Leap Forward.,GPT2
2916, it 's only eleven ...,"""I'm not sure what to say about it.",GPT2
2917,there were n't bars on the room,", but I was able to get a good view of the room.",GPT2
2918, he has n't met him,".""I'm not going to tell you what I'm going to do,",GPT2
2919,how did you know the victim,"was a woman?""""I don't know.",GPT2
2920,distantly she was aware of the warm cascade,of blood that was flowing from her.,GPT2
2921, was dex still here when,he was in the hospital.,GPT2
2922,undefeatable was already free to cut them off,".""I'm not going to be able to do that,",GPT2
2923,he knew it and he did,it.,GPT2
2924,i had sent my father a text telling,him that he was going to be a good boy.,GPT2
2925,you 're doing this for the,sake of the game' and 'I'm not going to do this for the sake of the game.,GPT2
2926,she made a sound like a,child.,GPT2
2927,we started hanging out at a party i,had with my friends.,GPT2
2928, you do n't want to,be a part of it.,GPT2
2929,i 'm not an,enemy of the people' (1 Cor.,GPT2
2930,with the last burst of my energy i,was able to get my hands on a few of the items i had been looking for.,GPT2
2931,"a small , skinny guy dressed all in",black.,GPT2
2932,then she pointed her left pinkie at us,". ""I'm sorry, but I'm not going to be able to do this.""""I'm sorry,",GPT2
2933,richard smiled and made his,way to the door.,GPT2
2934,possessing her body took a,toll on her.,GPT2
2935,i 'd make her feel special and always,"be there for her''I'm not sure if she's going to be able to do that,' she said.",GPT2
2936, i 'll call styx to have the,same effect.,GPT2
2937,savanna 's eyes found mine as,I walked by.,GPT2
2938," those are runes , but not",all runes are runes.,GPT2
2939,"caleb , surprised , said ,","""I'm not sure if I'm going to be able to do it, but I'm going to be able to do it.",GPT2
2940,within thirty seconds he had,to be taken to the hospital.,GPT2
2941,he then stepped over and lightly,touched the back of his head.,GPT2
2942,no one had ever made,a film about a woman who had been raped.,GPT2
2943,he did not argue as she insistently helped,him to his feet.,GPT2
2944,"after the revolutions started in the middle east ,","the Arab Spring began in Tunisia and Egypt , and the Arab Spring began in Libya and Syria .",GPT2
2945,that was n't as definitive as she 'd,' say.,GPT2
2946,"the door opened , the bell rang again",and the door opened again.,GPT2
2947,"it is a miracle that she can conceive ,",and that she can conceive of a man who is not a man.,GPT2
2948,his large wide forehead carried no markings and,was not visible to the naked eye.,GPT2
2949,"only , this one was starring","in the movie ""The Last of Us"" and was also featured in the movie ""The Last of Us 2"" and was also featured in the movie ""The Last of Us 3"" and was also featured in the movie",GPT2
2950,they 'll be looking,for a new job' and 'I'm looking for a new job.,GPT2
2951,mi knew that any revenge she sought must,be met with a swift and decisive defeat.,GPT2
2952, i 'll just need you,to do it.,GPT2
2953," i 'm sorry ,","I'm sorry, I'm sorry,",GPT2
2954,soap twisted his mobile mouth,to speak.,GPT2
2955,do you wish to make,a donation to the cause?I would like to make a donation to the cause of the American Red Cross.,GPT2
2956,"oh , uh ...","I'm not sure if I'm going to be able to do this, but I'm going to be able to do this.",GPT2
2957,"when they were first married , robin and",henry were the first to be married.,GPT2
2958,her eyes widened even farther,".""I'm sorry,",GPT2
2959,the commander had said that over the next,"few days, he would be able to get the troops out of the country.",GPT2
2960,but after tossing and turning for a few,"minutes, he was able to get back to his feet and get back to his feet.",GPT2
2961,"well , theres the",same thing happening to me.,GPT2
2962,"thierry arteuil was running up the road , his",eyes were filled with tears and he was crying.,GPT2
2963," i bet they do , ''",}}}}}}}}}}}}}},GPT2
2964," while we 're there , will",be a lot of people who are going to be there for us.,GPT2
2965,"he would lose me one day , and",I would lose him another day .,GPT2
2966,is n't that who my father has always,been?I'm not sure if I'm going to be able to say that.,GPT2
2967,"well , that got rid of","the ""bad"" ones.",GPT2
2968, i 'm going,to be a good guy.,GPT2
2969,"she glanced back , realizing the trash was a",good thing.,GPT2
2970,cale looked down at my hand,".""I'm sorry,",GPT2
2971,"it was jack , falling out of a",tree.,GPT2
2972,he reached for the game that lay,in wait for him.,GPT2
2973,he took a deep breath and tried to recapture,his breath.,GPT2
2974, but i pulled,out my phone and started to call my mom.,GPT2
2975,perhaps she 'd been ill. perhaps,she was ill.,GPT2
2976, by fifteen i,ota of the total amount of money that was spent on the project.,GPT2
2977,at the same hobby store where hed picked,"up the first of the many small-scale, small-scale,",GPT2
2978," i do n't really care , ''","""I'm not going to do anything to you, you know?""""I'm not going to do anything to you,",GPT2
2979, are you still,going to be able to play?I'm still going to be able to play.,GPT2
2980,pastor wilson from st. matthias church,in St.,GPT2
2981,at a friends home you can watch a tv,show on your phone.,GPT2
2982,"after a while , i realized it must",be a bit of a stretch to say that the game is a bit of a mess.,GPT2
2983,what will you do on,"the next day?""""I'll be back in a few days,"" he said.",GPT2
2984,what we had to do was overcome him and,get him to the point where he could be a good player.,GPT2
2985,all in a day 's,.The first thing I noticed was that the first thing I noticed was that the first thing I noticed was that the first thing I noticed was that the first thing I noticed was that the first thing I noticed was,GPT2
2986,"chapter 2  halleigh , since you 're","a man of the world, and you are a man of the world,",GPT2
2987,my eyes are wide as dallas has her,eyes wide as dallas has her eyes wide as dallas has her eyes wide as dallas has her eyes wide as dallas has her eyes wide as dallas has her eyes wide as dallas has,GPT2
2988,"she 'd made up with perry , but had an",idea of what he wanted to do with it.,GPT2
2989," you , on the other hand , just go","to the next page and click on the ""Add to Cart"" button.",GPT2
2990,it became all about survival-about getting away from,the world and living in it.,GPT2
2991,she took one and threw it at the,ground.,GPT2
2992," goodby , '' he said",". ''I'm not going to be able to do that.''The man, who has not been named,",GPT2
2993,"unable to claim her mind , it instead",became a weapon of war.,GPT2
2994,"my dearest richard , by the time you","are old enough to be able to read the book, you will have read it.",GPT2
2995,she had never really gotten used to the,idea of being a woman.,GPT2
2996, your ex is here,", you can't just leave him alone.",GPT2
2997,there was no reason for,"the police to arrest him,"" said the police spokesman.",GPT2
2998,the lone air traffic controller seemed startled to see,the man's face.,GPT2
2999,"then again , it was also burdened by",the fact that the government had to pay for the cost of the project.,GPT2
3000,"they found chora in your locker ,",and you're going to have to get rid of them.,GPT2
3001,he was on his,way to the hospital.,GPT2
3002,five levels of box seats adorned with fleur-des-lis,", and a few of the seats were filled with the same kind of furniture.",GPT2
3003,i dropped my head and let,me know that I was going to be the one to get the job done.,GPT2
3004,"her opponent was a rough-looking boxer , with nearly shaved",head and a beard.,GPT2
3005, very much in the same relationship to humans,as to animals.,GPT2
3006, just felt like picking,up a book.,GPT2
3007,"some people chat , but my sister and i",are not.,GPT2
3008,"obviously , they 've been hiding here under",the surface for a long time.,GPT2
3009,the giant winged reptile had broken a,"few of the bones in its body, but it was still able to move.",GPT2
3010,those blue eyes made me want to,cry.,GPT2
3011,"she lay panting , her eyes closed",and her head was resting on the pillow.,GPT2
3012,we got the call,from the police.,GPT2
3013,"she looked up to see jemmy hovering there , eyes",wide.,GPT2
3014,there 's nothing suspicious about the man ;,but he was a man of great courage and of great courage's courage.,GPT2
3015,"but their mission , differing profoundly from my own",", is to make the world a better place.",GPT2
3016,jack had taken me back to my cabana and showed,me the door.,GPT2
3017,before teddy could say anything i totally agreed,with him.,GPT2
3018,are any of those churches,that are not in the same church as the one you are in?I am not sure that I can answer that question.,GPT2
3019,i stopped the car and rolled down the passenger-side window,".""I was just trying to get out of the car,"" he said. ""I was just trying to get out of the car.""The driver of the car,",GPT2
3020,"at the moment , i 'm just looking",at the screen.,GPT2
3021,at first lisa is n't sure,if she's going to be able to get her own place.,GPT2
3022,particularly your insinuations about,"the ""real"" world, and the ""real"" world is not the real world.",GPT2
3023,she was drinking too much of late and,was getting ready to leave.,GPT2
3024, he killed a whole,bunch of people.,GPT2
3025,she remembered what they 'd done together,' and how they 'had a great deal of fun together.,GPT2
3026,the girls take a common deep breath and,look at each other.,GPT2
3027,he nibbled and bit at,the paper.,GPT2
3028,the wall of darkness faded from the copper,#NAME?,GPT2
3029," ah , did","you know that the first time you saw a man in a suit, he was wearing a suit,",GPT2
3030,i ran out the door and down,the street.,GPT2
3031,"yes , you were aroused , which in turn was",a sign of arousal.,GPT2
3032,he reached inside and shut the,door behind him.,GPT2
3033, i am trying really hard not to use the,"word ""fraud"" in this article.",GPT2
3034,she turned around quickly before laura could see,her.,GPT2
3035,"he 's young , and he 's",a good man.,GPT2
3036,"he makes me feel so wanted , so desired",", so happy ,",GPT2
3037,"demons and ghouls , allow me to introduce",you to the ghouls of the world.,GPT2
3038, do you want,to do?I'm not sure.,GPT2
3039, i told my assistant andrea,that I was going to go to the store and buy some food.,GPT2
3040,follow my logic :,-).,GPT2
3041,"that was not the pleasant , sort of geeky voice",that I had hoped for.,GPT2
3042,the light from the open door spilled over the,floor.,GPT2
3043,"if all of you , hollywood 's elite",are not going to be able to afford to pay for the new movie.,GPT2
3044, you do n't show that bit of,a smile.,GPT2
3045,i wish i could make it all,up.,GPT2
3046,"petya didnt reply , just scooped about a",dozen of them.,GPT2
3047,he pulled her into his arms and,kissed her on the lips.,GPT2
3048, i thought you were,going to be a little bit more careful with your hair.,GPT2
3049,thats what happens when i,go to the gym.,GPT2
3050,and i was no,longer able to do anything.,GPT2
3051,he gripped it tight to reduce the,pressure.,GPT2
3052,"i stand , needing to get",out of the way of the enemy's attack.,GPT2
3053,leona stepped forward and shoved kira hard,into the back of the head.,GPT2
3054,"kendall preened , striking faux-sexy poses that",are so sexy that they're almost like a porn star's body.,GPT2
3055,it started ripping and tearing,"the fabric of the fabric, and it was like,",GPT2
3056,he throws his chopsticks on the,ground.,GPT2
3057,"on and on he went , that is",", he went to the house of the Lord,",GPT2
3058,sumi sat back on her haunches to,watch the two of them.,GPT2
3059, you said there were a couple of,things that I didn't like about the game.,GPT2
3060,though he was a master at using shadow,"magic to create illusions, and he was also a master at using the power of the moon to create illusions.",GPT2
3061,angie was sure her eyes were going to pop out,of her head when she saw the man.,GPT2
3062,as did the former head of security for,"the CIA, John Brennan, who was also a CIA director.",GPT2
3063,"she fired a single bullet , the slug","was still lodged in the body, and the bullet was lodged in the head.",GPT2
3064,campbell picks up a small folded piece of paper,and begins to write down the name of the person who has been killed.,GPT2
3065,he proved to be a most interesting dinner companion,".""I was very impressed with the way he handled the food,"" said his wife,",GPT2
3066,"water drips down my forehead , across my","face , and down my neck .",GPT2
3067,the little brother is trying to,get his brother to stop.,GPT2
3068,"*  no , '' she",said.,GPT2
3069,only then had i been in a position,to do so.,GPT2
3070,"a cynical twist to his mouth , he finally",gets to see the truth.,GPT2
3071,he just couldnt imagine that his drunk act would,be so bad.,GPT2
3072, i wonder of it was a good,idea to have a few of them in the game.,GPT2
3073,being a single mother was n't something i,was afraid of.,GPT2
3074," dang , and i always thought it said","""I'm going to be a good guy.",GPT2
3075,you had no right to,be there.,GPT2
3076,as they rode up the drop ( on,"the left, on the right, on the left) and then they were all in the same place.",GPT2
3077,but i was still,in the middle of a fight with a guy who was a little older than me.,GPT2
3078,even though my feelings for him were all,"over the place, I was still able to get him to stop.",GPT2
3079,steven reynolds had a high,"-profile role in the film, and he was a key figure in the production of the film's soundtrack.",GPT2
3080," no longer even , '' she",said.,GPT2
3081,he 'd waited as long as he could,to get his hands on the keys.,GPT2
3082,"like every other surface in the shop , its interior",is a little more spacious than the rest of the shop.,GPT2
3083,but i 'd have to ... if,"i want to go to the next level, i have to go to the next level.",GPT2
3084,if morikawa had visions of apes wielding soldering,iron.,GPT2
3085,"he had n't found the pattern yet ,",but he had found it.,GPT2
3086,"and suddenly , almost too simply , too","much, too much.",GPT2
3087,he pulled me towards,the door.,GPT2
3088,ive never used a weapon,.The only time I ever used a weapon was when I was in a fight with a group of thugs.I used a sword to defend myself from a group of thugs.I used a sword,GPT2
3089,"when you 're pulling down minimum wage , you",'re not pulling down minimum wage.,GPT2
3090,"i turned around , afraid i was going",to die.,GPT2
3091,"to my surprise , her brows",were still red and her eyes were still red.,GPT2
3092,nearby was an iv pole with a direct,line to the north.,GPT2
3093,"he demanded ,  open for","a second time , and then he said , ""I will not let you go.",GPT2
3094,it is not that she,"is a woman, but that she is a woman who is not a woman.",GPT2
3095,"and as delia searched his eyes , finding this new","information, he was surprised to find that he had been able to find the source of the information.",GPT2
3096, all the way,to the top.,GPT2
3097,"he shoved his hands into his pockets ,",and he was about to leave when he heard a loud thud.,GPT2
3098,carl would be happy if he never,had to go through the same thing again.,GPT2
3099,"josh was always good at defense , and",he was always good at offense .,GPT2
3100,he had been talking shit about nan too,".""I'm not going to lie,",GPT2
3101,"just remember , anna is operating under",the same rules as the other two.,GPT2
3102, i ca n't work in l.a. but,i can do it in l.,GPT2
3103, i need you to,be able to do that.,GPT2
3104,i knew that once i arrived at the,"place, i would be able to see the place.",GPT2
3105,"it fell out of her hands ,",and she was taken to the hospital.,GPT2
3106,perhaps she was more phoenix,"than dragon, and she was more dragon than dragon,",GPT2
3107, just remember that a secret is usually,a secret.,GPT2
3108,"two women , one wi white","man , one wi black man ,",GPT2
3109,no need to get a,new one.,GPT2
3110,i was restlessly fidgeting from,"the side of the bed, and she was still trying to get up.",GPT2
3111,he waved imploringly to,the other.,GPT2
3112, she 's coming to,the rescue.,GPT2
3113,"shaw paused for a moment , then turned",to look at the man.,GPT2
